Gene_name,ID
CREG2,1093
CRELD1,1094
CRELD2,1095
CRH,1096
CRIP1,1097
CRIP2,1098
CRK,1099
CRKL,1100
CRMP1,1101
CROT,1102
CRTAC1,1103
CRTC1,1104
CRYAB,1105
CRYL1,1106
CRYM,1107
CS,1108
CSDC2,1109
CSDE1,1110
CSE1L,1111
CSK,1112
CSMD1,1113
CSMD2,1114
CSNK1A1,1115
CSNK1D,1116
CSNK1E,1117
CSNK1G1,1118
CSNK1G3,1119
CSNK2A1,1120
CSNK2A2,1121
CSNK2B,1122
CSPG4,1123
CSPG5,1124
CSRP1,1125
CSRP2,1126
CST7,1127
CSTB,1128
CSTF2,1129
CSTF3,1130
CTBP1,1131
CTBP2,1132
CTDP1,1133
CTGF,1134
CTH,1135
CTHRC1,1136
CTNNA1,1137
CTNNA2,1138
CTNNA3,1139
CTNNB1,1140
CTNNBL1,1141
CTNND1,1142
CTNND2,1143
CTPS1,1144
CTPS2,1145
CTSA,1146
CTSC,1147
CTSZ,1148
CTTN,1149
CTTNBP2,1150
CTTNBP2NL,1151
CUEDC2,1152
CUL1,1153
CUL2,1154
CUL3,1155
CUL4A,1156
CUL4B,1157
CUL5,1158
CUL7,1159
CUL9,1160
CUTA,1161
CUTC,1162
CUX1,1163
CWC15,1164
CWC27,1165
CWF19L1,1166
CXADR,1167
CXCL14,1168
CXorf56,1169
CYB561,1170
CYB5B,1171
CYB5R1,1172
CYB5R2,1173
CYBA,1174
CYC1,1175
CYCS,1176
CYFIP1,1177
CYFIP2,1178
CYGB,1179
CYLD,1180
CYP27A1,1181
CYP46A1,1182
CYP4X1,1183
CYP51A1,1184
CYP7B1,1185
CYTH1,1186
CYTH2,1187
CYTH3,1188
D2HGDH,1189
DAAM1,1190
DAAM2,1191
DAB2IP,1192
DACT3,1193
DAG1,1194
DAGLA,1195
DAGLB,1196
DAP3,1197
DAPK1,1198
DAPK3,1199
DARS,1200
DARS2,1201
DAZAP1,1202
DBI,1203
DBN1,1204
DBNL,1205
DBT,1206
DCAF7,1207
DCAF8,1208
DCAKD,1209
DCC,1210
DCK,1211
DCLK1,1212
DCLK2,1213
